fold,test_speaker,accuracy,balanced_accuracy,macro_f1
1,F01,0.07142857142857142,0.07142857142857142,0.044444444444444446
2,F03,0.0794759825327511,0.0794759825327511,0.04908306364617044
3,F04,0.10020040080160321,0.10020040080160321,0.06071645415907711
4,FC01,0.7957317073170732,0.7957317073170732,0.29541595925297115
5,FC02,0.8509036144578314,0.8509036144578314,0.30648223487930565
6,FC03,0.41754385964912283,0.41754385964912283,0.19636963696369636
7,M01,0.7535667963683528,0.7535667963683528,0.2864891518737673
8,M02,0.6823238566131026,0.6823238566131026,0.2703894195444526
9,M03,0.014354066985645933,0.014354066985645933,0.009433962264150943
10,M04,0.06925675675675676,0.06925675675675676,0.04318062137967351
11,M05,0.016897081413210446,0.016897081413210446,0.011077542799597181
12,MC01,0.8627539503386005,0.8627539503386005,0.3087736306349976
13,MC02,0.6627027027027027,0.6627027027027027,0.2657130472475076
14,MC03,0.8134057971014492,0.8134057971014492,0.29903429903429907
15,MC04,0.09062980030721966,0.09062980030721966,0.05539906103286385
