fold,test_speaker,accuracy,balanced_accuracy,macro_f1
1,F01,0.6390977443609023,0.6390977443609023,0.2599388379204893
2,F03,0.07529411764705882,0.07529411764705882,0.046681254558716266
3,F04,0.012024048096192385,0.012024048096192385,0.007920792079207921
4,FC01,0.7865853658536586,0.7865853658536586,0.2935153583617747
5,FC02,0.6788235294117647,0.6788235294117647,0.26956318617145525
6,FC03,0.4117647058823529,0.4117647058823529,0.19444444444444445
7,M01,0.8210116731517509,0.8210116731517509,0.3005698005698006
8,M02,0.7280593325092707,0.7280593325092707,0.2808774439675727
9,M03,0.004784688995215311,0.004784688995215311,0.003174603174603175
10,M04,0.7415540540540541,0.7415540540540541,0.2838667959909473
11,M05,0.880184331797235,0.880184331797235,0.31209150326797386
12,MC01,0.8411764705882353,0.8411764705882353,0.3045793397231097
13,MC02,0.68,0.68,0.2698412698412698
14,MC03,0.8729411764705882,0.8729411764705882,0.31072026800670016
15,MC04,0.18588235294117647,0.18588235294117647,0.10449735449735449
