fold,test_speaker,accuracy,balanced_accuracy,macro_f1
1,F01,0.022556390977443608,0.022556390977443608,0.014705882352941178
2,F03,0.05414847161572053,0.05414847161572053,0.03424468378900856
3,F04,0.16432865731462926,0.16432865731462926,0.09409064830751578
4,FC01,0.7591463414634146,0.7591463414634146,0.2876949740034662
5,FC02,0.7309236947791165,0.7309236947791165,0.2815158546017015
6,FC03,0.4230576441102757,0.4230576441102757,0.19819185159093577
7,M01,0.7691309987029832,0.7691309987029832,0.28983382209188663
8,M02,0.5574783683559951,0.5574783683559951,0.23862433862433863
9,M03,0.05143540669856459,0.05143540669856459,0.03261281759575275
10,M04,0.18243243243243243,0.18243243243243243,0.10285714285714286
11,M05,0.09216589861751152,0.09216589861751152,0.05625879043600562
12,MC01,0.8704288939051918,0.8704288939051918,0.3102421755571647
13,MC02,0.707027027027027,0.707027027027027,0.27612412919569346
14,MC03,0.9166666666666666,0.9166666666666666,0.31884057971014496
15,MC04,0.16589861751152074,0.16589861751152074,0.09486166007905139
