fold,test_speaker,accuracy,balanced_accuracy,macro_f1
1,F01,0.05263157894736842,0.05263157894736842,0.03333333333333333
2,F03,0.05502183406113537,0.05502183406113537,0.034768211920529805
3,F04,0.10020040080160321,0.10020040080160321,0.06071645415907711
4,FC01,0.7286585365853658,0.7286585365853658,0.28101116990005875
5,FC02,0.6581325301204819,0.6581325301204819,0.26460793218286405
6,FC03,0.3298245614035088,0.3298245614035088,0.16534740545294635
7,M01,0.7795071335927367,0.7795071335927367,0.29203109815354716
8,M02,0.5871446229913473,0.5871446229913473,0.2466251298026999
9,M03,0.023923444976076555,0.023923444976076555,0.01557632398753894
10,M04,0.14020270270270271,0.14020270270270271,0.08197530864197532
11,M05,0.018433179723502304,0.018433179723502304,0.012066365007541479
12,MC01,0.8812641083521444,0.8812641083521444,0.3122950163986881
13,MC02,0.7286486486486486,0.7286486486486486,0.2810089639357932
14,MC03,0.9064009661835749,0.9064009661835749,0.3169675852602682
15,MC04,0.217357910906298,0.217357910906298,0.11903259726603575
